reviewerID,asin,overall,unixReviewTime,uid,iid
A11N155CW1UV02,B000H00VBQ,2,1399075200,0,0
A3BC8O2KCL29V2,B000H00VBQ,5,1346630400,1,0
A60D5HQFOTSOM,B000H00VBQ,1,1381881600,2,0
A1RJPIGRSNX4PW,B000H00VBQ,4,1383091200,3,0
A16XRPF40679KG,B000H00VBQ,5,1234310400,4,0
A1POFVVXUZR3IQ,B000H00VBQ,5,1318291200,5,0
A1PG2VV4W1WRPL,B000H0X79O,3,1381795200,6,1
ATASGS8HZHGIB,B000H0X79O,3,1388275200,7,1
A3RXD7Z44T9DHW,B000H0X79O,5,1393372800,8,1
AUX8EUBNTHIIU,B000H0X79O,3,1396396800,9,1
AXM3GQLD0CHIL,B000H0X79O,4,1391731200,10,1
A398QSASJOIKA6,B000H29TXU,4,1391644800,11,2
A2U61O0KWJH3MM,B000H29TXU,3,1378339200,12,2
A2LSZFEFTDRDIJ,B000H29TXU,3,1371168000,13,2
A39F2EW27YYUDM,B000H29TXU,5,1398729600,14,2
AO1Z63O9CTT95,B000H29TXU,2,1394064000,15,2
A1378ZJMWCTVT3,B000H2DMME,3,1389225600,16,3
A2JE0JYIZL5NU4,B000H2DMME,3,1400371200,17,3
A2LSZFEFTDRDIJ,B000H2DMME,5,1360454400,13,3
A3RXD7Z44T9DHW,B000H2DMME,5,1394064000,8,3
AAWV26JJ1SGS0,B000H2DMME,3,1392249600,18,3
AS2AMJR6JJZSS,B000H2DMME,5,1391817600,19,3
AXM3GQLD0CHIL,B000H2DMME,5,1366761600,10,3
AYCGI5JRRISTJ,B000H2DMME,5,1362787200,20,3
A1939G7K0LLQ8P,B000H2DMME,3,1333929600,21,3
A2LUBUMIQEVWD3,B000H2DMME,3,1388620800,22,3
A3DG93E8TXMKZF,B000H4YNM0,3,1395446400,23,4
ALLV1OUJL3WN6,B000H4YNM0,5,1350604800,24,4
A2MOIORZE53NL8,B000H4YNM0,5,1395446400,25,4
ALZWY9L4E5GXO,B000H4YNM0,5,1373241600,26,4
A2WDV8ACOG5LSA,B000H4YNM0,3,1397520000,27,4
ADJ9W8DJJKDJO,B000H4YNM0,1,1375228800,28,4
A3NFIJUVEAJGP,B000H4YNM0,1,1398988800,29,4
A2REG1E0F7XXJL,B000H4YNM0,5,1370995200,30,4
A1NF9WS7RR82MX,B000H4YNM0,5,1389139200,31,4
AL6Q4IIX5MFQZ,B000H4YNM0,3,1398124800,32,4
A356RFKNIG043B,B000H4YNM0,5,1281225600,33,4
A3BB3I7M3IQ9Q0,B000H4YNM0,4,1395446400,34,4
A2QWF2BJ2FM4R2,B000H4YNM0,5,1223251200,35,4
AN6NGSXZXMZZ9,B000H4YNM0,1,1395446400,36,4
ATC7DTGWH0QRV,B000H4YNM0,5,1404086400,37,4
ATECU14VUIOJ0,B000H4YNM0,4,1199664000,38,4
A1MNUAXPWP8BUJ,B000H4YNM0,3,1371427200,39,4
A3RA13OPEIKLQ9,B000H4YNM0,5,1395360000,40,4
AJKWF4W7QD4NS,B000H4YNM0,5,1185667200,41,4
AHYJONIS0LE1X,B000H4YNM0,5,1340064000,42,4
A1JVOV54H4ZVFC,B000H4YNM0,4,1401494400,43,4
A21OAQRLS6OAW3,B000H4YNM0,5,1396137600,44,4
A3UKF6Q4NCPQR3,B000H4YNM0,5,1395273600,45,4
A9W4HRJ4P6G5A,B000H4YNM0,5,1363651200,46,4
A1GUJPIEN0XH4Q,B000HAB4NK,5,1375833600,47,5
A5M1M9IJEQ8J2,B000HAB4NK,5,1404259200,48,5
AD342OQX4EFN7,B000HAB4NK,5,1400284800,49,5
A2PUHH4ET0N0JE,B000HAB4NK,5,1401840000,50,5
A32ZOSZVX052IJ,B000HAB4NK,5,1369785600,51,5
A1S23DO741NAPV,B000HAB4NK,5,1398729600,52,5
A7WT61P4D6W0H,B000HAB4NK,2,1383696000,53,5
A2HVL790PBWYTU,B000HAB4NK,5,1159660800,54,5
A2BFIYZYNK54QX,B000HAB4NK,5,1159228800,55,5
A1ZR8F86DJRVLX,B000HAB4NK,5,1229126400,56,5
A3ENBNVNDMFOPK,B000HAB4NK,5,1399680000,57,5
A691XU34BVWME,B000HAB4NK,1,1376956800,58,5
A2VN9XRV211S63,B000HAB4NK,5,1384646400,59,5
A2QWF2BJ2FM4R2,B000HAB4NK,4,1217203200,35,5
A3UJB66XI5OOTR,B000HAB4NK,5,1366761600,60,5
A2I6MHMAZZDCRX,B000HAB4NK,5,1165276800,61,5
A331OF34UX4Y1K,B000HAB4NK,4,1201996800,62,5
A3LZGLA88K0LA0,B000HAB4NK,5,1172016000,63,5
A3TV5LHUDB7H06,B000HAB4NK,5,1400803200,64,5
A3T5NSG7LMRY0A,B000HAB4NK,5,1170288000,65,5
A18HCHX9MHJ42Q,B000HAB4NK,5,1398211200,66,5
A10KVORU2FMSOG,B000HAB4NK,5,1398211200,67,5
A36EKEC9C4P2QH,B000HAB4NK,5,1183766400,68,5
A2FYMNCON6I16U,B000HAB4NK,5,1402531200,69,5
ARMVAHWQQ9S8A,B000HAB4NK,5,1167609600,70,5
AER15RIMV8E6D,B000HAB4NK,5,1164240000,71,5
A2XPJRP7EGX732,B000HAB4NK,5,1391472000,72,5
ACZ77TXF1LNMJ,B000HAB4NK,5,1400544000,73,5
A32ROCXVVJRKSM,B000HAB4NK,5,1360454400,74,5
