uid,iid
0,718
0,800
0,1160
0,1338
0,1549
1,0
1,874
1,1374
1,1549
2,227
2,0
2,316
2,317
2,723
2,833
2,849
2,1057
2,1185
2,283
3,480
3,0
3,664
3,961
4,0
4,26
4,51
4,36
4,83
4,86
4,88
4,55
4,94
4,179
4,238
4,263
4,338
4,351
4,371
4,373
4,384
4,524
4,531
4,577
4,632
4,636
4,652
4,811
4,822
4,832
4,871
4,883
4,885
4,889
4,901
4,902
4,904
4,930
4,939
4,995
4,1014
4,1015
4,1158
4,1160
4,1212
4,1229
4,1275
4,1327
4,1351
4,1357
4,1377
4,1393
4,1396
4,1403
4,1409
4,1455
4,1485
4,1503
4,1512
4,1516
4,1522
4,1527
4,1544
4,1562
4,1585
4,1589
4,1603
4,95
4,1657
4,1667
5,0
5,99
5,33
5,178
5,200
5,224
5,236
5,273
5,275
5,276
5,285
5,295
5,304
5,307
5,326
5,348
5,361
5,375
5,424
5,462
5,487
5,497
5,510
5,176
5,588
5,526
5,678
5,679
5,758
5,773
5,1217
6,1
6,871
6,1229
6,1257
6,1368
7,410
7,453
7,785
7,1055
7,1056
8,1
8,3
8,677
8,1269
9,427
9,453
9,532
9,605
9,652
9,772
10,3
10,88
10,652
10,785
10,1
10,1288
11,2
11,473
11,504
11,671
12,2
12,205
12,618
12,795
12,917
13,3
13,452
13,652
13,688
14,2
14,672
14,678
14,790
14,928
14,453
15,437
15,671
15,1062
15,1192
15,1393
16,3
16,94
16,756
16,1184
16,1257
17,3
17,453
17,497
17,652
17,737
17,1001
17,1160
17,1324
17,1495
18,13
18,144
18,3
18,145
18,418
18,438
18,701
18,1190
18,403
19,191
19,3
19,868
19,885
19,1157
19,1190
20,3
20,71
20,558
20,578
20,571
20,913
20,1185
21,3
21,726
21,986
21,1206
21,1363
21,1586
22,700
22,885
22,3
22,1291
22,1343
22,1045
22,1404
22,1541
23,4
23,273
23,306
23,422
23,855
23,979
23,1462
23,1499
24,70
24,4
24,219
24,553
25,4
25,219
25,289
25,335
25,421
25,469
25,553
25,554
25,635
25,684
25,950
25,1046
25,1215
25,1236
25,1371
25,1536
25,70
26,4
26,54
26,60
26,68
26,111
26,194
26,215
26,464
27,138
27,407
27,583
27,957
27,1046
28,4
28,201
28,236
28,245
28,559
28,574
29,38
29,231
29,453
29,488
29,524
29,795
29,1134
29,1187
29,4
30,4
30,398
