reviewerID,asin,overall,unixReviewTime,uid,iid
A2IBPI20UZIR0U,1384719342,5.0,1393545600,0,0
A14VAT5EAX3D9S,1384719342,5.0,1363392000,1,0
A195EZSQDW3E21,1384719342,5.0,1377648000,2,0
A2C00NNG1ZQQG2,1384719342,5.0,1392336000,3,0
A94QU4C90B1AX,1384719342,5.0,1392940800,4,0
A2A039TZMZHH9Y,B00004Y2UT,5.0,1356048000,5,1
A1UPZM995ZAH90,B00004Y2UT,5.0,1390089600,6,1
AJNFQI3YR6XJ5,B00004Y2UT,3.0,1353024000,7,1
A3M1PLEYNDEYO8,B00004Y2UT,5.0,1215302400,8,1
AMNTZU1YQN1TH,B00004Y2UT,5.0,1389139200,9,1
A2NYK9KWFMJV4Y,B00004Y2UT,5.0,1334793600,10,1
A35QFQI0M46LWO,B00005ML71,4.0,1398124800,11,2
A2NIT6BKW11XJQ,B00005ML71,3.0,1384646400,12,2
A1C0O09LOLVI39,B00005ML71,5.0,1371340800,13,2
A17SLR18TUMULM,B00005ML71,5.0,1356912000,14,2
A2PD27UKAD3Q00,B00005ML71,2.0,1376697600,15,2
AKSFZ4G1AXYFC,B000068NSX,4.0,1376352000,16,3
A67OJZLHBBUQ9,B000068NSX,5.0,1373328000,17,3
A2EZWZ8MBEDOLN,B000068NSX,5.0,1363564800,18,3
A1CL807EOUPVP1,B000068NSX,5.0,1375833600,19,3
A1GMWTGXW682GB,B000068NSX,4.0,1331856000,20,3
A2G12DY50U700V,B000068NSX,5.0,1390953600,21,3
A3E0CF25A7LD2,B000068NSX,4.0,1354924800,22,3
A2W3CLAYZLDPTV,B000068NTU,5.0,1341446400,23,4
A398X9POBHK69N,B000068NTU,5.0,1383177600,24,4
AXWB93VKVML6K,B000068NTU,4.0,1372809600,25,4
A2FZ4Z0UFA1OR8,B000068NTU,5.0,1327449600,26,4
AXP9CF1UTFRSU,B000068NTU,5.0,1381795200,27,4
A2CCGGDGZ694CT,B000068NVI,4.0,1341964800,28,5
A27DR1VO079F1V,B000068NVI,5.0,1392768000,29,5
A1LQC225SE8UNI,B000068NVI,5.0,1337990400,30,5
AU9BPT3Y3K6J4,B000068NVI,5.0,1376092800,31,5
A14Z9LAETO21KL,B000068NVI,4.0,1394496000,32,5
A2074KEJGRYJV4,B000068NVI,5.0,1379289600,33,5
A7TRK2GG6BHWD,B000068NVI,5.0,1325808000,34,5
A319B090A2POEB,B000068NVI,4.0,1329004800,35,5
A396ELNTQDFYPO,B000068NVI,4.0,1379289600,36,5
A17CU1D2CWXOHB,B000068NVI,4.0,1387065600,37,5
A1S0HTDO0P4N5V,B000068NVI,5.0,1379376000,38,5
A3DWQW2L39RB1S,B000068NVI,4.0,1355443200,39,5
AQQ91U1U4YKDF,B000068NVI,5.0,1372464000,40,5
AA5TINW2RJ195,B000068NW5,5.0,1405382400,41,6
ABC68JUCPTVOE,B000068NW5,5.0,1333152000,42,6
A3W2E6S24BTXXK,B000068NW5,5.0,1401235200,43,6
A3872Y2XH0YDX1,B000068NW5,5.0,1363132800,44,6
A398X9POBHK69N,B000068NW5,4.0,1388966400,24,6
A13A81NN0NRD1S,B000068NW5,4.0,1290038400,45,6
A1EUO0BU72JR7T,B000068NW5,5.0,1372291200,46,6
A1H4WSC8JWS59N,B000068NW5,5.0,1359504000,47,6
A3OXHLG6DIBRW8,B000068NW5,5.0,1346803200,48,6
A12ABV9NU02O29,B000068NW5,2.0,1309910400,49,6
A2U1Z3TZ4P76JB,B000068NW5,5.0,1393977600,50,6
A1L7M2JXN4EZCR,B000068NW5,1.0,1391904000,51,6
A37A41GWQFMK3D,B000068NW5,4.0,1370649600,52,6
A2JK2ITE138P7Z,B000068NW5,5.0,1399939200,53,6
A1DVUFG2QSJ6IK,B000068NW5,5.0,1381190400,54,6
A34VZEFXQJJ7AT,B000068NW5,5.0,1374710400,55,6
A1SD1C8XK3Z3V1,B000068NW5,5.0,1392163200,56,6
AKHWZ3S1UVZAO,B000068NW5,4.0,1397779200,57,6
A3LNNEYLGGCO25,B000068NW5,3.0,1404518400,58,6
AMACM7BGUQCZD,B000068NW5,5.0,1390521600,59,6
A38HMS5RYSYF8G,B000068NW5,5.0,1389571200,60,6
A6D91KPQGIDKZ,B000068NW5,5.0,1343001600,61,6
A2RCCN4KEXZGC8,B000068NW5,5.0,1377388800,62,6
A3GAP455S8YH0M,B000068NW5,5.0,1373068800,63,6
A1N06X05VZWO5Y,B000068NW5,5.0,1391385600,64,6
A3TA1UJWRJF9NC,B000068NW5,5.0,1293580800,65,6
A3VPISTBNS66C5,B000068NW5,4.0,1359072000,66,6
A1E5FQZTUM8OC1,B000068NW5,5.0,1373846400,67,6
A3MYWHYZ30WLQJ,B000068NW5,5.0,1377734400,68,6
A1FHOW9NVOH8XR,B000068NW5,5.0,1359936000,69,6
A319B090A2POEB,B000068NW5,3.0,1329004800,35,6
A2VH0UT5EQFB6P,B000068NW5,5.0,1389830400,70,6
A396ELNTQDFYPO,B000068NW5,4.0,1358726400,36,6
A2WYAHJGST6AOT,B000068NW5,3.0,1393372800,71,6
